301|2025-08-29 08:30:15|Email|60.5|4
302|2025-08-29 09:15:22|Telefono|8.2|3
303|2025-08-29 10:45:33|Chat|1.5|5
304|2025-08-29 11:20:10|Email|90.8|2
305|2025-08-29 12:35:45|Telefono|12.3|4
306|2025-08-29 13:22:18|Chat|2.1|3
307|2025-08-29 14:10:50|Email|75.4|5
308|2025-08-29 15:45:33|Telefono|6.7|1
309|2025-08-29 16:30:12|Chat|0.8|4
310|2025-08-29 17:25:40|Email|110.2|3
311|2025-08-29 18:15:28|Telefono|9.5|5
312|2025-08-29 19:50:15|Chat|1.9|2
313|2025-08-29 20:30:42|Email|85.6|4
314|2025-08-29 21:15:55|Telefono|11.8|3
315|2025-08-29 22:40:20|Chat|2.8|5
